KRISHNA EXPRESS,,,,,,
,,,,,,
DATE,,S1-COACH,,,,
7/5/2018,,,,3,,
7/6/2018,,,,5,,
7/9/2018,,,,3,,
7/10/2018,,,,4,,
7/11/2018,,,,5,,
7/12/2018,,,,3,,
7/13/2018,,,,5,,
7/16/2018,,,,2,,
7/17/2018,,,,3,,
7/18/2018,,,,4,,
7/19/2018,,,,5,,
7/20/2018,,,,3,,
7/23/2018,,,,4,,
7/24/2018,,,,5,,
7/25/2018,,,,3,,
7/26/2018,,,,5,,
7/27/2018,,,,3,,
7/30/2018,,,,4,,
7/31/2018,,,,2,,
8/1/2018,,,,3,,
8/2/2018,,,,3,,
8/3/2018,,,,4,,
8/6/2018,,,,5,,
8/7/2018,,,,6,,
8/8/2018,,,,4,,
8/9/2018,,,,3,,
8/10/2018,,,,2,,
8/13/2018,,,,4,,
8/14/2018,,,,5,,
8/15/2018,,,,3,,
8/16/2018,,,,4,,
8/17/2018,,,,5,,
8/20/2018,,,,3,,
8/21/2018,,,,5,,
8/22/2018,,,,5,,
8/23/2018,,,,4,,
8/24/2018,,,,5,,
8/27/2018,,,,3,,
8/28/2018,,,,3,,
8/29/2018,,,,5,,
8/30/2018,,,,6,,
8/31/2018,,,,4,,
9/4/2018,,,,3,,
9/5/2018,,,,5,,
9/6/2018,,,,6,,
9/7/2018,,,,5,,
9/10/2018,,,,3,,
9/11/2018,,,,4,,
9/12/2018,,,,3,,
9/13/2018,,,,4,,
9/14/2018,,,,3,,
9/17/2018,,,,4,,
9/18/2018,,,,5,,
9/19/2018,,,,6,,
9/20/2018,,,,4,,
9/21/2018,,,,5,,
9/24/2018,,,,6,,
9/25/2018,,,,3,,
9/26/2018,,,,4,,
9/27/2018,,,,2,,
9/28/2018,,,,3,,
10/1/2018,,,,4,,
10/2/2018,,,,5,,
10/3/2018,,,,6,,
10/4/2018,,,,5,,
10/5/2018,,,,4,,
10/8/2018,,,,3,,
10/9/2018,,,,4,,
10/10/2018,,,,5,,
10/11/2018,,,,5,,
10/12/2018,,,,4,,
10/15/2018,,,,6,,
10/16/2018,,,,4,,
10/17/2018,,,,3,,
10/18/2018,,,,2,,
10/19/2018,,,,3,,
10/22/2018,,,,5,,
10/23/2018,,,,4,,
10/24/2018,,,,3,,
10/25/2018,,,,4,,
10/26/2018,,,,5,,
10/29/2018,,,,6,,
10/30/2018,,,,5,,
10/31/2018,,,,4,,
11/1/2018,,,,3,,
11/2/2018,,,,4,,
11/5/2018,,,,5,,
11/6/2018,,,,6,,
11/7/2018,,,,2,,
11/8/2018,,,,3,,
11/9/2018,,,,5,,
11/12/2018,,,,4,,
11/13/2018,,,,6,,
11/14/2018,,,,5,,
11/15/2018,,,,4,,
11/16/2018,,,,3,,
11/19/2018,,,,2,,
11/20/2018,,,,3,,
11/21/2018,,,,4,,
11/23/2018,,,,5,,
11/26/2018,,,,6,,
11/27/2018,,,,5,,
11/28/2018,,,,4,,
11/29/2018,,,,3,,
11/30/2018,,,,2,,
12/3/2018,,,,4,,
12/4/2018,,,,5,,
12/5/2018,,,,6,,
12/6/2018,,,,4,,
12/7/2018,,,,3,,
12/10/2018,,,,4,,
12/11/2018,,,,5,,
12/12/2018,,,,6,,
12/13/2018,,,,6,,
12/14/2018,,,,4,,
12/17/2018,,,,3,,
12/18/2018,,,,3,,
12/19/2018,,,,2,,
12/20/2018,,,,2,,
12/21/2018,,,,3,,
12/24/2018,,,,4,,
12/26/2018,,,,5,,
12/27/2018,,,,6,,
12/28/2018,,,,4,,
12/31/2018,,,,5,,
1/2/2019,,,,4,,
1/3/2019,,,,6,,
1/4/2019,,,,5,,
1/7/2019,,,,4,,
1/8/2019,,,,3,,
1/9/2019,,,,3,,
1/10/2019,,,,2,,
1/11/2019,,,,3,,
1/14/2019,,,,4,,
1/15/2019,,,,5,,
1/16/2019,,,,6,,
1/17/2019,,,,4,,
1/18/2019,,,,6,,
1/22/2019,,,,4,,
1/23/2019,,,,3,,
1/24/2019,,,,4,,
1/25/2019,,,,5,,
1/28/2019,,,,3,,
1/29/2019,,,,2,,
1/30/2019,,,,4,,
1/31/2019,,,,5,,
2/1/2019,,,,6,,
2/4/2019,,,,4,,
2/5/2019,,,,6,,
2/6/2019,,,,4,,
2/7/2019,,,,3,,
2/8/2019,,,,5,,
2/11/2019,,,,6,,
2/12/2019,,,,5,,
2/13/2019,,,,5,,
2/14/2019,,,,4,,
2/15/2019,,,,3,,
2/19/2019,,,,6,,
2/20/2019,,,,5,,
2/21/2019,,,,4,,
2/22/2019,,,,5,,
2/25/2019,,,,6,,
2/26/2019,,,,3,,
2/27/2019,,,,4,,
2/28/2019,,,,6,,
3/1/2019,,,,5,,
3/4/2019,,,,4,,
3/5/2019,,,,3,,
3/6/2019,,,,2,,
3/7/2019,,,,4,,
3/8/2019,,,,3,,
3/11/2019,,,,5,,
3/12/2019,,,,3,,
3/13/2019,,,,5,,
3/14/2019,,,,6,,
3/15/2019,,,,4,,
3/18/2019,,,,3,,
3/19/2019,,,,5,,
3/20/2019,,,,6,,
3/21/2019,,,,7,,
3/22/2019,,,,5,,
3/25/2019,,,,8,,
3/26/2019,,,,7,,
3/27/2019,,,,8,,
3/28/2019,,,,9,,
3/29/2019,,,,6,,
4/1/2019,,,,6,,
4/2/2019,,,,5,,
4/3/2019,,,,4,,
4/4/2019,,,,3,,
4/5/2019,,,,3,,
4/8/2019,,,,2,,
4/9/2019,,,,4,,
4/10/2019,,,,5,,
4/11/2019,,,,6,,
4/12/2019,,,,7,,
4/15/2019,,,,6,,
4/16/2019,,,,5,,
4/17/2019,,,,4,,
4/18/2019,,,,3,,
4/22/2019,,,,2,,
4/23/2019,,,,3,,
4/24/2019,,,,4,,
4/25/2019,,,,5,,
4/26/2019,,,,6,,
4/29/2019,,,,4,,
4/30/2019,,,,3,,
5/1/2019,,,,5,,
5/2/2019,,,,6,,
5/3/2019,,,,7,,
5/6/2019,,,,6,,
5/7/2019,,,,5,,
5/8/2019,,,,4,,
5/9/2019,,,,3,,
5/10/2019,,,,4,,
5/13/2019,,,,5,,
5/14/2019,,,,6,,
5/15/2019,,,,7,,
5/16/2019,,,,6,,
5/17/2019,,,,5,,
5/20/2019,,,,4,,
5/21/2019,,,,3,,
5/22/2019,,,,5,,
5/23/2019,,,,6,,
5/24/2019,,,,4,,
5/27/2019,,,,5,,
5/28/2019,,,,6,,
5/29/2019,,,,5,,
5/30/2019,,,,4,,
5/31/2019,,,,5,,
6/3/2019,,,,6,,
6/4/2019,,,,5,,
6/5/2019,,,,4,,
6/6/2019,,,,6,,
6/7/2019,,,,7,,
6/10/2019,,,,6,,
6/11/2019,,,,5,,
6/12/2019,,,,4,,
6/13/2019,,,,6,,
6/14/2019,,,,4,,
6/17/2019,,,,5,,
6/18/2019,,,,3,,
6/19/2019,,,,5,,
6/20/2019,,,,6,,
6/21/2019,,,,4,,
6/24/2019,,,,6,,
6/25/2019,,,,4,,
6/26/2019,,,,5,,
6/27/2019,,,,6,,
6/28/2019,,,,4,,
7/1/2019,,,,5,,
7/2/2019,,,,6,,
7/3/2019,,,,6,,
7/4/2019,,,,4,,
7/5/2019,,,,5,,
7/8/2019,,,,6,,
7/9/2019,,,,7,,
7/10/2019,,,,6,,
7/11/2019,,,,5,,
7/12/2019,,,,4,,
7/15/2019,,,,3,,
7/16/2019,,,,4,,
7/17/2019,,,,2,,
7/18/2019,,,,4,,
7/19/2019,,,,6,,
7/22/2019,,,,5,,
7/23/2019,,,,7,,
7/24/2019,,,,6,,
7/25/2019,,,,5,,
7/26/2019,,,,4,,
7/29/2019,,,,4,,
7/30/2019,,,,3,,
7/31/2019,,,,2,,
8/1/2019,,,,4,,
8/2/2019,,,,5,,
8/5/2019,,,,6,,
8/6/2019,,,,4,,
8/7/2019,,,,3,,
8/8/2019,,,,3,,
8/9/2019,,,,2,,
8/12/2019,,,,4,,
8/13/2019,,,,6,,
8/14/2019,,,,4,,
8/15/2019,,,,6,,
8/16/2019,,,,7,,
8/19/2019,,,,8,,
8/20/2019,,,,6,,
8/21/2019,,,,5,,
8/22/2019,,,,4,,
8/23/2019,,,,7,,
8/26/2019,,,,5,,
8/27/2019,,,,4,,
8/28/2019,,,,6,,
8/29/2019,,,,7,,
8/30/2019,,,,5,,
9/2/2019,,,,4,,
9/3/2019,,,,3,,
9/4/2019,,,,5,,
9/5/2019,,,,6,,
9/6/2019,,,,7,,
9/9/2019,,,,8,,
9/10/2019,,,,7,,
9/11/2019,,,,6,,
9/12/2019,,,,4,,
9/13/2019,,,,4,,
9/16/2019,,,,3,,
9/17/2019,,,,5,,
9/18/2019,,,,6,,
9/19/2019,,,,7,,
9/20/2019,,,,8,,
9/23/2019,,,,6,,
9/24/2019,,,,4,,
9/25/2019,,,,5,,
9/26/2019,,,,6,,
9/27/2019,,,,7,,
9/30/2019,,,,5,,
10/1/2019,,,,6,,
10/2/2019,,,,5,,
10/3/2019,,,,5,,
10/4/2019,,,,3,,
10/7/2019,,,,7,,
10/8/2019,,,,7,,
10/9/2019,,,,5,,
10/10/2019,,,,5,,
10/11/2019,,,,3,,
10/14/2019,,,,4,,
10/15/2019,,,,2,,
10/16/2019,,,,4,,
10/17/2019,,,,5,,
10/18/2019,,,,6,,
10/21/2019,,,,7,,
10/22/2019,,,,8,,
10/23/2019,,,,6,,
10/24/2019,,,,6,,
10/25/2019,,,,9,,
10/28/2019,,,,10,,
10/29/2019,,,,3,,
10/30/2019,,,,4,,
10/31/2019,,,,5,,
11/1/2019,,,,6,,
11/4/2019,,,,6,,
11/5/2019,,,,4,,
11/6/2019,,,,8,,
11/7/2019,,,,9,,
11/8/2019,,,,6,,
11/11/2019,,,,7,,
11/12/2019,,,,5,,
11/13/2019,,,,6,,
11/14/2019,,,,7,,
11/15/2019,,,,8,,
11/18/2019,,,,9,,
11/19/2019,,,,6,,
11/20/2019,,,,8,,
11/21/2019,,,,6,,
11/22/2019,,,,8,,
11/25/2019,,,,6,,
11/26/2019,,,,9,,
11/27/2019,,,,7,,
11/28/2019,,,,7,,
11/29/2019,,,,8,,
12/2/2019,,,,5,,
12/3/2019,,,,4,,
12/4/2019,,,,3,,
12/5/2019,,,,5,,
12/6/2019,,,,7,,
12/9/2019,,,,8,,
12/10/2019,,,,9,,
12/11/2019,,,,8,,
12/12/2019,,,,6,,
12/13/2019,,,,5,,
12/16/2019,,,,4,,
12/17/2019,,,,6,,
12/18/2019,,,,7,,
12/19/2019,,,,4,,
12/20/2019,,,,4,,
12/23/2019,,,,5,,
12/24/2019,,,,3,,
12/26/2019,,,,2,,
12/27/2019,,,,6,,
12/30/2019,,,,0,,
12/31/2019,,,,0,,
1/2/2020,,,,0,,
1/3/2020,,,,4,,
